,Hindi,Wordss
907,अंकित (aṅkit),Ankit
908,शिव (śiv),Shiv
909,त्याग (tyāg),Sacrifice
910,जिसने (jisne),Whosoever
911,गरम (garam),Hot
912,समाचार (samācār),news
913,शाखा (śākhā),branch
914,बुरी (burī),Bad
915,डाला (ḍālā),Put
916,जून (jūn),june
917,ज्ञात (gyāt),Known
918,गर्भ (garbh),Pregnancy
919,कर्मचारियों (karmacāriyõ),Employees
920,मामलों (māmlõ),Cases
921,बजाय (bajāy),rather than
922,तरीके (tarīke),Way
923,आदर्श (ādarś),Ideal
924,हिस्सा (hissā),stake
925,संरचना (sãracnā),structure
926,स्पर्श (sparś),Touch
927,जनवरी (janavrī),January
928,चित्रकला (citraklā),drawing
929,चरित्र (caritra),character
930,क्षेत्रीय (kṣetrīya),Regional
931,क्यू (kyū),Why
932,रखता (rakhtā),Keep
933,बिक्री (bikrī),Sale
934,पुस्तकों (pustakõ),Books
935,निर्मित (nirmit),made
936,जैन (jain),Jain
937,गले (gale),Throat
938,ग्रा (grā),Gram
939,खराब (kharāb),Bad
940,करो (karo),Do
941,कक्षा (kakṣā),class
942,आश्चर्य (āścarya),Wonder
943,रास्ता (rāstā),way
944,युक्त (yukt),Containing
945,बनाए (banāe),Make
946,बेटा (beṭā),Son
947,बेटे (beṭe),Son
948,प्रबन्ध (prabandh),Management
949,निम्नलिखित (nimnalikhit),Following
950,चेहरा (cehrā),Face
951,अर्जुन (arjun),Arjun
952,सम्मान (sammān),regards
953,यथार्थ (yathārth),True
954,बहू (bahū),Daughter in law
955,ध्वनियों (dhvaniyõ),Sounds
956,जिन्होंने (jinhonne),Who
957,छाया (chāyā),Shadow
958,खबर (khabar),News
959,संकट (saṅkaṭ),Problem
960,बेटी (beṭī),Daughter
961,पशुओं (paśuõ),Cattle
962,अति (ati),Extreme
963,समझता (samajhtā),Instead
964,रोकने (rokne),Stop
965,भक्ति (bhakti),Devotion
966,दशा (daśā),Dash
967,चलती (caltī),Moving
968,घास (ghās),grass
969,कथन (kathan),statement
970,सामान (sāmān),stuff
971,मजदूरी (majdūrī),Labour
972,भरी (bharī),Filled
973,बिलकुल (bilkul),Absolutely
974,दूसरों (dūsrõ),Others
975,गरीब (garīb),Poor
976,अस्तित्व (astitva),exist
977,अकेले (akele),Lonely
978,सौन्दर्य (saundarya),Beauty
979,साहसी (sāhsī),Daring
980,समझते (samajhte),Understand
981,विद्युत (vidyut),Electricity
982,लिखी (likhī),Written
983,नाटक (nāṭak),drama
984,धूप (dhūp),Sunlight
985,दरवाजे (darvāje),Doors
986,कमजोर (kamjor),Fragile
987,आदत (ādat),Habit
988,सम्प्रदाय (sampradāy),Sect
989,शोध (śodh),Search
990,वीर (vīr),Daring
991,रुपया (rupyā),Rupee
992,मौत (maut),death
993,भले (bhale),Well
994,प्रसन्न (prasanna),Happy
995,निजी (nijī),private
996,जातियों (jātiyõ),Races
997,गीतों (gītõ),Songs
998,कीट (kīṭ),Insect
999,उतनी (utnī),As
1000,अभ्यास (abhyās),Practice
1001,रंगों (raṅgõ),Colors
1002,मान्यता (mānyatā),assumption
1003,मजबूत (majbūt),Strong
1004,भीड़ (bhīṛ),Crowd
1005,नियमों (niymõ),Rules
1006,उठता (uṭhtā),Rise
1007,आनन्द (ānand),Joy
1008,विष (viṣ),Poison
1009,प्र (pra),Process
1010,तमाम (tamām),All
1011,चिन्ह (cinha),Sign
1012,स्थिर (sthir),Stable
1013,शराब (śarāb),Liquor
1014,वैज्ञानिकों (vaigyānikõ),Scientists
1015,पहुंचा (pahuñcā),reached up
1016,नियमित (niymit),Regular
1017,नवीन (navīn),New
1018,गहरी (gahrī),Deep
1019,ऊष्मा (ūṣmā),Heat
1020,उत्तम (uttam),Excellent
1021,शास्त्र (śāstra),ethology
1022,माह (māh),Month
1023,मालिक (mālik),master
1024,भला (bhalā),Good
1025,भरे (bhare),Filled
1026,बनाई (banāī),Maid
1027,गरीबी (garībī),poverty
1028,आन्दोलन (āndolan),Movement
1029,विद्या (vidyā),Knowledge
1030,पारिवारिक (pārivārik),Family
1031,तोड़ (toṛ),the break
1032,चीजें (cījẽ),Things
1033,कठोर (kaṭhor),Harsh
1034,अनुपात (anupāt),ratio
1035,हरियाणा (hariyāṇā),Haryana
1036,सम्पन्न (sampanna),Completed
1037,विधान (vidhān),Legislation
1038,राय (rāy),opinion
1039,तुरन्त (turant),Immediately
1040,आपस (āpas),Amuse
1041,अधीन (adhīn),Subordinate
1042,शिक्षक (śikṣak),teacher
1043,विजय (vijay),victory
1044,लेख (lekh),article
1045,महोदय (mahoday),Sir
1046,भी (bhī),as well
1047,फरवरी (pharavrī),February
1048,पित्त (pitt),Bile
1049,प्रत्यक्ष (pratyakṣ),direct
1050,तर्क (tark),Logic
1051,जेल (jel),prison
1052,चुपचाप (cupcāp),Silently
1053,करा (karā),Do
1054,अनुकूल (anukūl),Friendly
1055,विष्णु (viṣṇu),Vishnu
1056,यों (yõ),Yes
1057,भूख (bhūkh),hunger
1058,बांस (bāns),bamboo
1059,बनता (bantā),Becomes
1060,बनकर (bankar),be made
1061,बैठकर (baiṭhkar),Sitting
1062,पात्र (pātra),Pot
1063,पूर्वी (pūrvī),Eastern
1064,कठिनाई (kaṭhināī),Difficulty
1065,इत्यादि (ityādi),And so on
1066,सदस्यों (sadasyõ),Members
1067,मूत्र (mūtra),Urine
1068,भरा (bharā),full
1069,बुरा (burā),bad
1070,घोषणा (ghoṣṇā),announcement
1071,खोल (khol),Shell
1072,खुश (khuś),happy
1073,खेतों (khetõ),Fields
1074,कोश (koś),Thesaurus
1075,उपस्थित (upasthit),Present
1076,अभिव्यक्ति (abhivyakti),Expression
1077,श्रेष्ठ (śreṣṭh),Best
1078,नाग (nāg),snake
1079,नाक (nāk),Nose
1080,जाता (jātā),go
1081,छूट (chūṭ),Discount
1082,घरों (gharõ),Houses
1083,खून (khūn),Blood
1084,करेगा (karegā),Will
1085,उतार (utār),Over
1086,अपराध (aprādh),Crime
1087,अधिनियम (adhiniyam),Act
1088,साहस (sāhas),Bravery
1089,सर्वप्रथम (sarvapratham),the very first
1090,पढ़ाई (paṛhāī),Reading
1091,दिखायी (dikhāyī),Shot
1092,दुख (dukh),grief
1093,अगस्त (agast),august
1094,साथी (sāthī),mate
1095,सक्रिय (sakriy),active
1096,पढ़ने (paṛhne),Read
1097,पढ़ (paṛh),Read
1098,चालू (cālū),Working
1099,आधा (ādhā),half
1100,समितियों (samitiyõ),Committees
1101,सूची (sūcī),List
1102,विवेचन (vivecan),Disconnection
1103,मनोविज्ञान (manovigyān),Psychology
1104,पहुंचे (pahuñce),Arrive
1105,पुस्तकें (pustakẽ),Books
1106,किशोरी (kiśorī),teenager
1107,इस्पात (ispāt),steel
1108,सामना (sāmnā),Face
1109,व्याख्या (vyākhyā),Explanation
1110,फुट (phuṭ),Foot
1111,दिमाग (dimāg),mind
1112,कर्मचारी (karmacārī),Staff
1113,असर (asar),Impact
1114,अफसर (aphsar),Officer
1115,सतह (satah),surface
1116,विचित्र (vicitra),strange
1117,बैल (bail),Bull
1118,तहत (tahat),Under
1119,केन्द्रों (kendrõ),Centers
1120,अम्ल (amla),Acid
1121,संरक्षण (sãrakṣaṇ),Protection
1122,सुनने (sunne),Listen
1123,वाणी (vāṇī),Voice
1124,लोहे (lohe),Iron
1125,यंत्र (yantra),Machine
1126,भाषाविज्ञान (bhāṣāvigyān),language science
1127,बोलने (bolne),Speech
1128,बोध (bodh),Sense
1129,प्रकाशन (prakāśan),Publication
1130,दादा (dādā),Grandpa
1131,टूट (ṭūṭ),break
1132,चरक (carak),Charak
1133,खाते (khāte),Account
1134,कान (kān),ear
1135,उद्योगों (udyogõ),Industries
1136,आक्रमण (ākramaṇ),Aggression
1137,अंग्रेजों (aṅgrejõ),British
1138,संभावना (sambhāvnā),Possibility
1139,यथा (yathā),As
1140,भेजा (bhejā),Sent
1141,बनाते (banāte),To make
1142,नरेश (nareś),Naresh
1143,दो (do),Two
1144,चोरी (corī),Theft
1145,चित्रकार (citrakār),Painter
1146,कहे (kahe),saying
1147,स्वतन्त्र (svatantra),Independent
1148,सूरज (sūraj),sun
1149,सूक्ष्म (sūkṣma),Micro
1150,विशेषता (viśeṣtā),Speciality
1151,लिख (likh),Writing
1152,मास (mās),Mass
1153,पंचायत (pañcāyat),jury
1154,चरण (caraṇ),phase
1155,गली (galī),Street
1156,खुले (khule),Open
1157,कुर्सी (kursī),chair
1158,सन्दर्भ (sandarbh),Reference
1159,स्त्रोत (strot),Source
1160,वर्गीकरण (vargīkraṇ),Classification
1161,महाभारत (mahābhārat),Mahabharata
1162,फैल (phail),Spread
1163,पेश (peś),Present
1164,प्रौद्योगिकी (praudyogikī),Technology
1165,पुराण (purāṇ),Puran
1166,निर्धारण (nirdhāraṇ),Determination
1167,चीन (cīn),China
1168,शिकायत (śikāyat),Complaint
1169,विद्यालय (vidyālay),School
1170,वस्तुतः (vastutaḥ),Virtually
1171,लाया (lāyā),brought
1172,बहन (bahan),sister
1173,पक्षी (pakṣī),Bird
1174,निर्यात (niryāt),Export
1175,ना (nā),No
1176,जाये (jāye),Go
1177,ज्यों (jyõ),Lyth
1178,चक्कर (cakkar),Dizziness
1179,गोली (golī),Gun Shot
1180,कल्याण (kalyāṇ),welfare
1181,क्रोध (krodh),Anger
1182,कराया (karāyā),Accounted
1183,इंका (iṅkā),Inca
1184,सीधा (sīdhā),Straight
1185,संचार (sañcār),Communications
1186,विरुद्ध (viruddh),Opposite
1187,विद्वानों (vidvānõ),Scholars
1188,लम्बे (lambe),Long
1189,भुगतान (bhugtān),Payment
1190,तुझे (tujhe),You
1191,चयन (cayan),Selection
1192,घोड़े (ghoṛe),Horses
1193,उच्चारण (uccāraṇ),pronunciation
1194,सोने (sone),Gold
1195,मौका (maukā),Opportunity
1196,मोटे (moṭe),fatty
1197,भाषण (bhāṣaṇ),lecture
1198,निकला (niklā),Out
1199,देवताओं (devtāõ),Gods
1200,उत्पत्ति (utpatti),Produce
1201,शहरी (śahrī),urban
1202,शक्ति (śakti),Power
1203,राष्ट्रपति (rāṣṭrapti),President
1204,महाराज (mahārāj),King
1205,मन्दिर (mandir),Temple
1206,इन्द्र (indra),Indra
1207,अपेक्षित (apekṣit),Expected
1208,अंतर्गत (antargat),Under
1209,अजीब (ajīb),Weird
1210,संस्कार (sanskār),Secrament
1211,समाधान (samādhān),Solution
1212,शूल (śūl),Shoulder
1213,लिखे (likhe),Written
1214,रहेगा (rahegā),Will be
1215,रमेश (rameś),Ramesh
1216,जड़ (jaṛ),Root
1217,अधिगम (adhigam),Learning
1218,सर्वाधिक (sarvādhik),Most
1219,मानता (māntā),agrees
1220,मन्त्री (mantrī),Minister
1221,बाढ़ (bāṛh),flood
1222,बजट (bajaṭ),Budget
1223,नुकसान (nuksān),Harm
1224,थोड़े (thoṛe),Little
1225,जाल (jāl),net
1226,जानने (jānne),Knowing
1227,कम्पनी (kampanī),Company
1228,कक्ष (kakṣ),Chamber
1229,उपकरणों (upkarṇõ),Devices
1230,उत्पन्न (utpanna),Yield
1231,उठकर (uṭhkar),Rise
1232,इसको (isko),It
1233,साम्राज्य (sāmrājya),Empire
1234,संशोधन (sanśodhan),Amendment
1235,राजाओं (rājāõ),Kings
1236,पसन्द (pasand),Likes
1237,छात्रों (chātrõ),Students
1238,गहरा (gahrā),deep
1239,किलोग्राम (kilogrām),Kilogram
1240,कालेज (kālej),College
1241,उल्लेखनीय (ullekhnīya),Remarkable
1242,उपलब्धि (uplabdhi),achievement
1243,उत्साह (utsāh),enthusiasm
1244,मजदूर (majdūr),Labour
1245,प्रार्थना (prārthanā),Prayer
1246,छिड़काव (chiṛkāv),Spraying
1247,समुदाय (samudāy),Community
1248,शोथ (śoth),Shoth
1249,लोरिक (lorik),Lorik
1250,बौद्ध (bauddh),Buddhist
1251,बाग (bāg),Garden
1252,बचा (bacā),Saving
1253,पहाड़ी (pahāṛī),Hill
1254,प्रोत्साहन (protsāhan),incentive
1255,प्रबल (prabal),Predominant
1256,पदार्थों (padārthõ),Substances
1257,पूंजी (pūñjī),Finance
1258,जगत (jagat),the universe
1259,घोल (ghol),Slurry
1260,एकता (ektā),Unity
1261,सोचने (socne),Thinking
1262,सामान्यतः (sāmānyataḥ),Generally
1263,स्वतंत्रता (svatantratā),Freedom
1264,वित्तीय (vittīya),financial
1265,मानकर (mānkar),Assume
1266,भौतिक (bhautik),physical
1267,पाठ्यक्रम (pāṭhyakram),Syllabus
1268,परिणामस्वरूप (pariṇāmasvarūp),the resulting
1269,पर्वत (parvat),mountain
1270,तलाश (talāś),search
1271,गोद (god),Lap
1272,गांधीजी (gāndhījī),Gandhiji
1273,का (kā),Of
1274,अन्तर्राष्ट्रीय (antarrāṣṭrīya),International
1275,सहन (sahan),tolerate
1276,शेर (śer),lion
1277,वैसा (vaisā),Was
1278,वस्त्र (vastra),Clothes
1279,लक्ष्मी (lakṣmī),Laxmi
1280,रूक (rūk),Ruck
1281,मुक्ति (mukti),Freedom
1282,प्रोटीन (proṭīn),Protein
1283,चलकर (calkar),Run
1284,गंभीर (gambhīr),Serious
1285,आधी (ādhī),Half
1286,अंकन (aṅkan),Marking
1287,हिंदी (hindī),Hindi
1288,शान्त (śānt),Calm
1289,शांति (śānti),Peace
1290,वर्गों (vargõ),Sections
1291,वृक्षों (vŕkṣõ),Trees
1292,रोगों (rogõ),Diseases
1293,बम्बई (bambaī),Bombay
1294,प्रथा (prathā),Practice
1295,चीजों (cījõ),Things
1296,अतएव (ataev),Hence
1297,सकती (saktī),Can
1298,महिलाओं (mahilāõ),Women
1299,बाह्य (bāhya),External
1300,प्रेरित (prerit),Inspired
1301,निहित (nihit),Implied
1302,दिखाया (dikhāyā),Shown
1303,डालने (ḍālne),Insert
1304,डेढ़ (ḍeṛh),One and a half
1305,गैर (gair),Non
1306,सम्पत्ति (sampatti),Property
1307,श्रद्धा (śraddhā),Admiration
1308,वार्ता (vārtā),Negotiation
1309,लड़कों (laṛkõ),Boys
1310,मानने (mānne),Obedience
1311,मुझ (mujh),Me
1312,नमक (namak),Salt
1313,छवि (chavi),image
1314,चाचा (cācā),uncle
1315,चलो (calo),Let's go
1316,करेगा (karegā),Will
1317,हिमाचल (himācal),Himachal
1318,स्मिता (smitā),Smita
1319,स्थल (sthal),Venue
1320,रखती (rakhtī),Holds
1321,रकम (rakam),Amount
1322,पहुंचने (pahuñcne),To reach
1323,नाना (nānā),Grandfather
1324,दरवाजा (darvājā),Door
1325,दुकान (dukān),shop
1326,ठोस (ṭhos),Solid
1327,जेब (jeb),Pocket
1328,चिन्तन (cintan),Thinking
1329,गर्मी (garmī),Heat
1330,खरीद (kharīd),Purchase
1331,क्रांति (krānti),revolution
1332,ऋतु (ŕtu),Season
1333,सुनाई (sunāī),Narrated
1334,विद्यालयों (vidyālyõ),Schools
1335,लिखने (likhne),Writing
1336,लखनऊ (lakhnaū),Lucknow
1337,राग (rāg),Raga
1338,बरस (baras),Rain
1339,ब्रज (braj),Braj
1340,पश्चात (paścāt),Post
1341,डाली (ḍālī),branch
1342,गृह (gŕh),home
1343,अकाली (akālī),Akali
1344,सावधानी (sāvdhānī),Caution
1345,सेवन (sevan),Intake
1346,स्वतन्त्रता (svatantratā),Independence
1347,शून्य (śūnya),Zero
1348,विद्यार्थियों (vidyārthiyõ),students
1349,मोटी (moṭī),fat
1350,भ्रष्टाचार (bhraṣṭācār),Corruption
1351,देह (deh),Body
1352,तेरे (tere),Your
1353,कार्रवाई (kārravāī),Action
1354,कार्यवाही (kāryavāhī),Proceeding
1355,इस्लाम (islām),Islam
1356,आश्रम (āśram),Hermitage
1357,आकर्षण (ākarṣaṇ),Attraction
1358,हिस्से (hisse),Part
1359,सम्राट (samrāṭ),King
1360,परेशान (pareśān),Worried
1361,परम्परागत (paramparāgat),Traditional
1362,दिसम्बर (disambar),December
1363,जनसंख्या (jansaṅkhyā),Population
1364,घोषित (ghoṣit),Declared
1365,ऋषि (ŕṣi),Sage
1366,अखबार (akhbār),Newspaper
1367,रूपों (rūpõ),Forms
1368,भस्म (bhasma),Consumption
1369,बगल (bagal),Next
1370,परिस्थिति (paristhiti),Situation
1371,निगम (nigam),Corporation
1372,नारायण (nārāyaṇ),Narayan
1373,तुरंत (turant),Immediately
1374,ढोला (ḍholā),Dhola
1375,डालकर (ḍālkar),Put
1376,चावल (cāval),Rice
1377,गणेश (gaṇeś),Ganesha
1378,कार्यक्रमों (kāryakramõ),Programs
1379,उठी (uṭhī),Rose
1380,ईश्वर (īśvar),god
1381,आतंकवादी (ātaṅkvādī),Terrorist
1382,आँख (ā̃kh),eye
1383,अदालत (adālat),court
1384,होटल (hoṭal),hotel
1385,हार (hār),Garland
1386,हजारों (hajārõ),Thousands
1387,संदेह (sandeh),doubt
1388,संक्षिप्त (saṅkṣipt),brief
1389,विद्वान (vidvān),Scholar
1390,व्रत (vrat),Fast
1391,महत्व (mahatva),Importance
1392,भयंकर (bhayaṅkar),Terrifying
1393,बेहतर (behtar),Better
1394,ब्रिटिश (briṭiś),British
1395,प्रिय (priy),dear
1396,नियुक्त (niyukt),Appointed
1397,गम्भीर (gambhīr),Serious
1398,उक्त (ukt),That
1399,अमल (amal),Execution
1400,हवाई (havāī),airy
1401,हरे (hare),Green
1402,स्वर्णमंदिर (svarṇamandir),Golden Temple
1403,ली (lī),Took
1404,मामला (māmlā),Case
1405,मछली (machlī),fish
1406,बचपन (bacpan),Childhood
1407,बैंकों (baiṅkõ),Banks
1408,पान (pān),Page
1409,प्राण (prāṇ),Life
1410,प्रतिक्रिया (pratikriyā),Reaction
1411,जीवाणु (jīvāṇu),Bacteria
1412,छाती (chātī),chest
1413,गढ़वाल (gaṛhvāl),Garhwal
1414,खुला (khulā),open
1415,कार (kār),car
1416,क्रियाओं (kriyāõ),Actions
1417,अम्मा (ammā),Mother
1418,अंगों (aṅgõ),Bodies
1419,सन्देह (sandeh),Doubt
1420,विवाद (vivād),dispute
1421,लड़कियों (laṛkiyõ),Girls
1422,बाहरी (bāhrī),external
1423,बारी (bārī),Turn
1424,प्लेग (pleg),plague
1425,पुरुष (puruṣ),Male
1426,दोपहर (dophar),Afternoon
1427,तमिल (tamil),Tamil
1428,चौधरी (caudhrī),Chieftain
1429,आचरण (ācraṇ),conduct
1430,अनाज (anāj),Cereal
1431,ही (hī),Only
1432,सिरे (sire),Tip
1433,साढ़े (sāṛhe),Late
1434,संयोग (sãyog),Chance
1435,विमर्श (vimarś),Discussion
1436,विधियों (vidhiyõ),Methods
1437,व्यावहारिक (vyāvhārik),practical
1438,वचन (vacan),promise
1439,रात्रि (rātri),Dinner
1440,भावों (bhāvõ),Expressions
1441,भेंट (bheṇṭ),Gift
1442,बुआई (buāī),Sowing
1443,पैरों (pairõ),Feet
1444,पुराना (purānā),old
1445,प्रतीक्षा (pratīkṣā),Wait
1446,पत्रों (patrõ),Letters
1447,पड़ेगा (paṛegā),Will be
1448,जाओ (jāo),Go
1449,किस्मों (kismõ),Varieties
1450,किन (kin),Why
1451,उठे (uṭhe),Rose
1452,आचार्य (ācārya),Teacher
1453,आई (āī),I
1454,अफ्रीका (aphrīkā),Africa
1455,अतीत (atīt),Past
1456,हल्के (halke),Lightweight
1457,सागर (sāgar),sea
1458,शाह (śāh),Shah
1459,शान्ति (śānti),Peace
1460,विदेश (videś),abroad
1461,वजन (vajan),Weight
1462,लाखों (lākhõ),Millions
1463,प्रारंभ (prārambh),Start
1464,प्राणियों (prāṇiyõ),Creatures
1465,निर्देश (nirdeś),Instruction
1466,दावा (dāvā),Claim
1467,दे (de),Give
1468,चाहा (cāhā),Wanted
1469,उदास (udās),Downhearted
1470,उत्तरी (uttarī),Northern
1471,असली (aslī),the original
1472,हिम्मत (himmat),Courage
1473,हरी (harī),Green
1474,स्नेह (sneh),love
1475,शासक (śāsak),ruler
1476,बदले (badle),Change
1477,बचाने (bacāne),Save
1478,प्रतिनिधि (pratinidhi),agent
1479,दरअसल (daraasal),Actually
1480,देखभाल (dekhbhāl),Care
1481,तने (tane),Stem
1482,जानती (jāntī),Knows
1483,केंद्र (kendra),hub
1484,औषधि (auṣdhi),Drug
1485,उत्सव (utsav),Celebration
1486,इनसे (inse),from these
1487,साथियों (sāthiyõ),Companions
1488,संसाधन (sansādhan),Resources
1489,सदन (sadan),House
1490,सूखे (sūkhe),Drought
1491,संकल्प (saṅkalp),oath
1492,शक्तिशाली (śaktiśālī),Powerful
1493,व्यर्थ (vyarth),Pointless
1494,मिश्रण (miśraṇ),Mix
1495,बोरोन (boron),Boron
1496,निकालने (nikālne),Extract
1497,घूम (ghūm),Roam
1498,गुस्सा (gussā),anger
1499,क्षति (kṣati),Damage
1500,उठती (uṭhtī),Rise
1501,अरब (arab),Arab
1502,अत्यंत (atyant),Extremely
1503,अक्षर (akṣar),Letter
1504,संस्थानों (sansthānõ),Institutions
1505,सुपर (supar),Super
1506,संगठनों (saṅgaṭhnõ),Organizations
1507,विशेषकर (viśeṣkar),Especially
1508,वेद (ved),Veda
1509,महाराजा (mahārājā),King
1510,भरत (bharat),Bharat
1511,बोझ (bojh),Burden
1512,बादल (bādal),Cloud
1513,बयान (bayān),Statement
1514,पत्तियां (pattiyā̃),Leaves
1515,चढ़ (caṛh),Climb
1516,उम्मीद (ummīd),Hope
1517,उपेक्षा (upekṣā),Ignore
1518,सिद्धान्तों (siddhāntõ),Principles
1519,स्व (sva),Self
1520,सुनते (sunte),Listen
1521,सकते (sakte),Can
1522,रबड़ (rabaṛ),rubber
1523,मेल (mel),Match
1524,मेकअप (mekaap),Makeup
1525,भूत (bhūt),ghost
1526,बनते (bante),Becomed
1527,प्रशंसा (praśansā),Appreciation
1528,प्रतिदिन (pratidin),daily
1529,पूछ (pūch),Ask
1530,दबाव (dabāv),Pressure
1531,दण्ड (daṇḍ),Punishment
1532,टुकड़े (ṭukṛe),pieces
1533,गहराई (gahrāī),depth
1534,खींच (khīñc),Drag
1535,उर्वरक (urvarak),Fertilizer
1536,हिंसा (hinsā),violence
1537,साधना (sādhnā),meditation
1538,सेवाओं (sevāõ),Services
1539,सर्वथा (sarvathā),Surely
1540,लेखन (lekhan),Writing
1541,परेशानी (pareśānī),Trouble
1542,प्रताप (pratāp),Pratap
1543,पेड़ों (peṛõ),Trees
1544,चेष्टा (ceṣṭā),effort
1545,व्याकरण (vyākraṇ),Grammer
1546,लाइसेंस (lāisens),License
1547,ललित (lalit),Lalit
1548,रूस (rūs),Russia
1549,मील (mīl),Mile
1550,बर्फ (barph),ice
1551,पाप (pāp),Sin
1552,पुत्री (putrī),Daughter
1553,दफ्तर (daphtar),Workplace
1554,जानवर (jānvar),Animal
1555,गाने (gāne),Songs
1556,कार्यकर्ता (kāryakartā),Worker
1557,कलाकारों (kalākārõ),Artists
1558,करता (kartā),Does
1559,उत्पाद (utpād),Product
1560,आएँ (āẽ),Come on
1561,सोचते (socte),Thinking
1562,सीख (sīkh),Learn
1563,सास (sās),Mother in law
1564,वीणा (vīṇā),Veena
1565,यूरेनियम (yūreniyam),Uranium
1566,मौलिक (maulik),original
1567,मारने (mārne),Kill
1568,मुहम्मद (muhammad),Muhammad
1569,बिल (bil),bill
1570,बचत (bacat),Savings
1571,प्रावधान (prāvdhān),Provision
1572,पचास (pacās),fifty
1573,नागरिक (nāgrik),Citizen
1574,नेहरू (nehrū),Nehru
1575,देन (den),Donation
1576,गिरने (girne),Fall
1577,गहरे (gahre),Deep
1578,उपन्यास (upanyās),novel
1579,इलाके (ilāke),the areas
1580,आन्तरिक (āntarik),Inwards
1581,हिन्दुस्तान (hindustān),Hindustan
1582,संसद (sansad),Parliament
1583,स्वीकृति (svīkŕti),Acceptance
1584,संपर्क (sampark),Contact
1585,विभाजन (vibhājan),the division
1586,लौटने (lauṭne),Return
1587,यूरोप (yūrop),Europe
1588,मंच (mañc),Forum
1589,भाग्य (bhāgya),Luck
1590,बेहद (behad),Very
1591,बुलाया (bulāyā),Called
1592,पाए (pāe),Have found
1593,प्रयोगशाला (prayogśālā),the laboratory
1594,प्रमाणित (pramāṇit),Certified
1595,प्रभावशाली (prabhāvśālī),Influential
1596,जीत (jīt),Victory
1597,जानवरों (jānavrõ),Animals
1598,गुस्से (gusse),Angry
1599,गर्दन (gardan),Neck
1600,गुरू (gurū),Guru
1601,अधिकतम (adhiktam),Maximum
1602,सृष्टि (sŕṣṭi),Nature
1603,शिक्षित (śikṣit),Educated
1604,शहद (śahad),Honey
1605,वरन (varan),Varn
1606,रोम (rom),Rome
1607,बदन (badan),body
1608,फैला (phailā),Spread
1609,फेंक (pheṅk),Throw
1610,पिछड़े (pichṛe),Backward
1611,परिश्रम (pariśram),Hard work
1612,परिवारों (parivārõ),Families
1613,परिभाषा (paribhāṣā),Definition
1614,प्रारम्भिक (prārambhik),Initial
1615,पुरुषों (puruṣõ),Men
1616,निरीक्षण (nirīkṣaṇ),Supervision
1617,दास (dās),Slave
1618,देव (dev),God
1619,ताकत (tākat),might
1620,तंत्र (tantra),Mechanism
1621,तत्कालीन (tatkālīn),contemporaneous
1622,तकनीक (taknīk),Technique
1623,चलाने (calāne),Run
1624,गठन (gaṭhan),Build
1625,अनुभूति (anubhūti),Feeling
1626,हिन्दुओं (hinduõ),Hindus
1627,हिंदू (hindū),Hindu
1628,हालांकि (hālāṅki),Although
1629,सामूहिक (sāmūhik),the collective
1630,सरकारों (sarkārõ),Governments
1631,संयंत्र (sãyantra),plant
1632,सुंदर (sundar),Beautiful!
1633,सृजन (sŕjan),Creation
1634,वैसी (vaisī),Wess
1635,लावनी (lāvnī),Lavi
1636,लक्षणों (lakṣaṇõ),Symptoms
1637,राहुलजी (rāhuljī),Rahul ji
1638,युवा (yuvā),young
1639,मूर्ति (mūrti),statue
1640,बेर (ber),Berry
1641,पाण्डु (pāṇḍu),Pandu
1642,ध्रुपद (dhrupad),Dhrupad
1643,तथ्यों (tathyõ),Facts
1644,ढेर (ḍher),A lot
1645,जायें (jāyẽ),Go
1646,ग्रन्थों (granthõ),Granes
1647,गणित (gaṇit),mathematics
1648,कहानियों (kahāniyõ),Stories
1649,अशोक (aśok),Ashok
1650,साबित (sābit),Prove
1651,समझना (samajhnā),understand
1652,संज्ञा (sañgyā),Noun
1653,शांत (śānt),quiet
1654,श्रीलंका (śrīlaṅkā),Sri Lanka
1655,श्रमिक (śramik),Labor
1656,शर्त (śart),Condition
1657,लिपि (lipi),Script
1658,मानवीय (mānvīya),human
1659,पक्षियों (pakṣiyõ),Birds
1660,निवासी (nivāsī),Resident
1661,तुलनात्मक (tulnātmak),Comparative
1662,चमक (camak),Glow
1663,गोल (gol),round
1664,खाकर (khākar),after eating
1665,कोट (koṭ),Coat
1666,इंच (iñc),Inch
1667,आसन (āsan),Posture
1668,अकेला (akelā),Lonely
1669,शर्मा (śarmā),Sharma
1670,विश्वविद्यालय (viśvavidyālay),university
1671,विधायक (vidhāyak),MLA
1672,वर्मा (varmā),Verma
1673,वैद्य (vaidya),Vaidya
1674,राजस्थानी (rājasthānī),Rajasthani
1675,मानना (mānnā),Accept
1676,भरपूर (bharpūr),abundant
1677,भगत (bhagat),follower
1678,बस्ती (bastī),colony
1679,बैठने (baiṭhne),Seating
1680,प्रतिभा (pratibhā),Talent
1681,प्रजा (prajā),People
1682,प्रकोप (prakop),the outbreak
1683,नायक (nāyak),hero
1684,दोस्त (dost),friend
1685,तिवारी (tivārī),Tiwari
1686,घड़ी (ghaṛī),watch
1687,गलती (galtī),Mistake
1688,कार्बन (kārban),Carbon
1689,उपचार (upcār),the treatment
1690,ईसाई (īsāī),Christian
1691,आवेदन (āvedan),Application
1692,आयुर्वेद (āyurved),Ayurveda
1693,आदर (ādar),Respect
1694,अत्याचार (atyācār),Atrocity
